Column1;text;date;screen_name
0;"Se filtran imágenes de la gaming box de Aorus Gigabyte
#aorus #gigabyte #gamingbox #2070 #nvidia #portatil… https://t.co/YPuvo7hNJj";Wed Jan 16 23:49:40 +0000 2019;gamingcoffeeok
1;"Unboxing e instlación de tarjeta gráfica GTX 1060: https://t.co/CDebo0QI9S
#MSI #Nvidia #GeForce #GTX1060… https://t.co/D53qKzsQsW";Wed Jan 16 23:49:40 +0000 2019;David_Maki_S
2;Ya está aquí mi #nvidia #rtx2060 . Como siempre en perfectas condiciones gracias a @pccomponentes . Espero lo mejor… https://t.co/FGjc1GcCwe;Wed Jan 16 23:49:40 +0000 2019;CGYgameplays
3;RT @DellAyuda: ¿Sabías que si tienes una tarjeta gráfica #NVIDIA en tu sistema, puedes usar su Panel de Control para controlar los colores…;Wed Jan 16 23:49:40 +0000 2019;Rexstoreray
4;Empieza la cuenta atrás… ? En una semana tendremos en tienda la nueva tarjeta gráfica Nvidia GeForce RTX 2060 Found… https://t.co/POxpmDqsLP;Wed Jan 16 23:49:40 +0000 2019;LDLC_ES
5;"Si se confirman rumoress ¿La #1660Ti es una 1060 ""dopada"" ? Parece #nvidia está agotando su stock de la serie 1000… https://t.co/3n7G4qX6EE";Wed Jan 16 23:49:40 +0000 2019;SergioSK79
6;#NVIDIA #GeForce #GTX1660Ti es un 19% más potente que la #GTX1060. Más información en @PCMasterLife Facebook Instagram YouTube;Wed Jan 16 23:49:40 +0000 2019;PCMasterLife
7;¡Experiencias de realidad virtual de próxima generación! Disfruta de la tecnología más reciente para juegos con la… https://t.co/kk7jvg9sSa;Wed Jan 16 23:49:40 +0000 2019;ivoovenezuela
8;"RT @michollocom: ¡Tarjeta gráfica #NVIDIA!

 MSI GeForce RTX 2060 Ventus 6G solo 374,9€ ???? (PVP: 473€)

? Su diseño de dos ventiladores p…";Wed Jan 16 23:49:40 +0000 2019;Sicario12823354
9;"RT @michollocom: ¡Tarjeta gráfica #NVIDIA!

 MSI GeForce RTX 2060 Ventus 6G solo 374,9€ ???? (PVP: 473€)

? Su diseño de dos ventiladores p…";Wed Jan 16 23:49:40 +0000 2019;DefuseClub
10;"RT @Geeknetic: Filtrados datos de rendimiento de la  NVIDIA GeForce GTX 1660Ti.
#Nvidia #Geforce #GTX1660Ti
https://t.co/EkLk9pPsTv";Wed Jan 16 23:49:40 +0000 2019;EsPasteL
11;"¡Tarjeta gráfica #NVIDIA!

 MSI GeForce RTX 2060 Ventus 6G solo 374,9€ ???? (PVP: 473€)

? Su diseño de dos ventila… https://t.co/CE2aV8ZlAx";Wed Jan 16 23:49:40 +0000 2019;michollocom
12;"Filtrados datos de rendimiento de la  NVIDIA GeForce GTX 1660Ti.
#Nvidia #Geforce #GTX1660Ti
https://t.co/EkLk9pPsTv";Wed Jan 16 23:49:40 +0000 2019;Geeknetic
13;El Mac Pro no tendrá soporte para tarjetas Nvidia si Apple puede evitarlo. https://t.co/XGAmFRWxaH #Apple #MacPro… https://t.co/2GAxaT1GuD;Wed Jan 16 23:49:40 +0000 2019;joamaresc
14;Astilleros #rio #astilleros #lascostas #messi #barcelona #music #gym #food #gourmet #animal #dog #cat #fit #fitness… https://t.co/cUYIJBB4p1;Wed Jan 16 23:49:40 +0000 2019;09hotmail95
15;"Segunda captura
Con:
@torpe_official 
@PinchosCS 
#bumb
#Nvidia
Recordáis quien es ""Gonsales"" ¿?
Aquí tienes tu cap… https://t.co/TRohj7kF7e";Wed Jan 16 23:49:40 +0000 2019;Alekys_CSGO
16;"@krypGG 
@kekOcsgo 
@AguilaCSGO 
#Nvidia
#Drone
@vibradaking 
#Rubiazo
#Jushto
#Kirtash
#Barky
#Suko
#Fab1
#alvarez… https://t.co/2Jw5rmG8VD";Wed Jan 16 23:49:40 +0000 2019;Alekys_CSGO
17;¿Sabías que si tienes una tarjeta gráfica #NVIDIA en tu sistema, puedes usar su Panel de Control para controlar los… https://t.co/2fA53tCOkb;Wed Jan 16 23:49:40 +0000 2019;DellAyuda
18;Es el corazón, lo que empuja hacia adelante tus partidas, lo que aunque no veas sigue notandose???? quien falta?? Aqu… https://t.co/O2McgMActF;Wed Jan 16 23:49:40 +0000 2019;Elite_Valencia
19;@NVIDIAGeForceES Hola #Nvidia quiero etiquetar a #ToroTocho Por su sinceridad al compartir la información de la que… https://t.co/mG1TFKbH8E;Wed Jan 16 23:49:40 +0000 2019;FrankRo57487521
20;"En las profundidades: drones submarinos revelan los secretos bajo el mar.
https://t.co/nrpDoxq8KZ
#Nvidia… https://t.co/nBo3r43K7f";Wed Jan 16 23:49:40 +0000 2019;GlobalMediaIT
21;¿Sabías que si tienes una tarjeta gráfica #NVIDIA en tu sistema, puedes usar su Panel de Control para controlar los… https://t.co/GvN3bbW9mi;Wed Jan 16 23:49:40 +0000 2019;DellSpain
22;"Con saber de lo que uno mismo es capaz sobran excusas.
.
.
.
.
.
.
.
.
@setupwarriors setup_satisfaction
#gaming… https://t.co/alUsfnA9Nd";Wed Jan 16 23:49:40 +0000 2019;egogrx
23;#NVIDIA lanza un nuevo driver #GameReady https://t.co/QbMnTEMI2v https://t.co/mRCaRLyPGR;Wed Jan 16 23:49:40 +0000 2019;GamerHouseCL
24;#NVIDIA ya rastrea todo lo que hacen sus coches autónomos https://t.co/D39QOKjgST;Wed Jan 16 23:49:40 +0000 2019;nuevamovilidad
